questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
MT-003,gdlLicensing,MT,17,25,8,"How many hours of supervised driving practice are required in Montana?","40 hours","50 hours with 10 at night","30 hours","60 hours",B
NE-003,gdlLicensing,NE,17,25,8,"How many hours of supervised driving practice are required in Nebraska?","30 hours","50 hours with 10 at night","40 hours","60 hours",B
NH-003,gdlLicensing,NH,17,25,8,"How many hours of supervised driving practice are required in New Hampshire?","20 hours","40 hours with 10 at night","30 hours","50 hours",B
NY-023,duiStateLaws,NY,17,34,17,"What happens if you refuse a BAC test in New York?","Warning only","1-year license revocation and fine","90 day suspension","Same as passing",B
NC-003,gdlLicensing,NC,17,25,8,"How many hours of supervised driving practice are required in North Carolina?","30 hours","60 hours with 10 at night","50 hours","40 hours",B
NC-017,cellPhone,NC,17,40,23,"Can North Carolina school bus drivers use cell phones?","Same as regular drivers","No cell phone use while bus is in motion","Only hands-free","Only for emergencies",B
OH-003,gdlLicensing,OH,17,25,8,"How many hours of supervised driving practice are required in Ohio?","30 hours","50 hours with 10 at night","40 hours","24 hours",B
OK-003,gdlLicensing,OK,17,25,8,"How many hours of supervised driving practice are required in Oklahoma?","30 hours","50 hours with 10 at night","40 hours","20 hours",B
OR-018,cellPhone,OR,17,37,20,"What makes Oregon cell phone penalties unique?","Same as other states","Among the highest fines in the nation","No fines","Points only",B
RI-003,gdlLicensing,RI,17,25,8,"How many hours of supervised driving practice are required in Rhode Island?","30 hours","50 hours with 10 at night","40 hours","20 hours",B
TN-003,gdlLicensing,TN,17,25,8,"How many hours of supervised driving practice are required in Tennessee?","30 hours","50 hours with 10 at night","40 hours","20 hours",B
UT-003,gdlLicensing,UT,17,25,8,"How many hours of supervised driving practice are required in Utah?","30 hours","40 hours with 10 at night","50 hours","20 hours",B
VT-003,gdlLicensing,VT,17,25,8,"How many hours of supervised driving practice are required in Vermont?","30 hours","40 hours with 10 at night","50 hours","20 hours",B
VA-003,gdlLicensing,VA,17,25,8,"How many hours of supervised driving practice are required in Virginia?","30 hours","45 hours with 15 at night","50 hours","40 hours",B
WA-003,gdlLicensing,WA,17,25,8,"How many hours of supervised driving practice are required in Washington?","30 hours","50 hours with 10 at night","40 hours","60 hours",B
WV-037,stateUnique,WV,17,37,20,"What should West Virginia drivers watch for on rural roads?","Nothing special","Coal trucks wildlife and narrow roads","Only near mines","Only on state routes",B
WI-003,gdlLicensing,WI,17,25,8,"How many hours of supervised driving practice are required in Wisconsin?","20 hours","30 hours with 10 at night","50 hours","40 hours",B
AL-009,gdlLicensing,AL,16,42,26,"Can handheld device use result in extending your GDL restrictions in Alabama?","No it is only a fine","Yes any GDL violation extends restrictions","Only for texting not calls","Only on highways",B
AK-020,duiStateLaws,AK,16,21,5,"What is the BAC limit for drivers under 21 in Alaska?","0.08%","0.04%","0.02%","Any detectable amount",D
AZ-012,gdlLicensing,AZ,16,42,26,"Can you take the permit test at home in Arizona?","No only at DMV offices","Yes through the Permit Test @ Home program","Only with a driving school","Only for renewal",B
CA-028,insurance,CA,16,41,25,"Must you carry proof of insurance in your vehicle in California?","No electronic proof works","Yes physical or electronic proof required","Only paper copies","Only after accidents",B
CO-006,gdlLicensing,CO,16,38,22,"What are the passenger restrictions for the first 6 months with a minor license in Colorado?","No passengers under 18","No passengers under 21 except siblings","One passenger under 21","Unlimited passengers",B
CO-035,stateUnique,CO,16,31,15,"What must ALL passengers do when riding with a teen driver in Colorado?","Nothing special","Wear seat belts with no sharing","Be over 18","Have permission",B
CO-036,stateUnique,CO,16,44,28,"When can a first UDD offense be expunged in Colorado?","Immediately after conviction","When you turn 21 with no subsequent offenses","After 5 years","Never",B
CT-016,cellPhone,CT,16,36,20,"What are school bus drivers prohibited from using in Connecticut?","Nothing special","All cell phones including hands-free","Only handheld phones","Only personal phones",B
CT-039,stateUnique,CT,16,33,17,"What is the penalty for driving while your license is suspended for OUI in Connecticut?","Fine only","Mandatory minimum 30 days in jail","Points only","Community service",B
DE-034,stateUnique,DE,16,28,12,"What happens if a permit holder is caught not wearing a seatbelt in Delaware?","Warning only","Ticket and permit suspension","Fine only","Points added",B
GA-003,gdlLicensing,GA,16,47,31,"What is Joshua's Law in Georgia?","Mandatory insurance requirement","Driver education requirement for teens under 18","Zero tolerance DUI law","Cell phone restriction",B
GA-004,gdlLicensing,GA,16,24,8,"How many hours of supervised driving practice are required for Georgia teens?","30 hours","40 hours with 6 at night","50 hours","25 hours",B
GA-026,duiStateLaws,GA,16,30,14,"When does DUI become a felony in Georgia?","Second offense","Third offense","Fourth offense within 10 years","Never",C
HI-037,stateUnique,HI,16,46,30,"What is unique about traffic signs in Hawaii?","They are all in Hawaiian","Many include Hawaiian place names and language","They are green instead of blue","They use metric measurements",B
ID-024,duiStateLaws,ID,16,38,22,"What is required for all DUI offenders in Idaho?","Community service only","Ignition interlock device installation","Alcohol classes only","Weekend jail only",B
IL-029,insurance,IL,16,35,19,"What must Illinois drivers present if asked by police?","Registration only","Proof of insurance and registration","License only","Nothing until court",B
IA-003,gdlLicensing,IA,16,24,8,"How many hours of supervised driving practice are required in Iowa?","20 hours with 2 at night","30 hours","40 hours","50 hours",A
IA-005,gdlLicensing,IA,16,24,8,"How many additional supervised hours are required for an Iowa full license?","None","10 hours with 2 at night","20 hours","5 hours",B
MA-027,insurance,MA,16,29,13,"Is Massachusetts an at-fault or no-fault insurance state?","No-fault","At-fault","Choice system","Hybrid with no-fault elements",D
MI-006,gdlLicensing,MI,16,35,19,"How many passengers can a Michigan Level 2 driver carry?","No limit","1 passenger unless immediate family","2 passengers","Only family members",B
NH-026,duiStateLaws,NH,16,30,14,"When does DWI become a felony in New Hampshire?","Second offense","Third offense","Fourth offense within 10 years","Never",C
NM-017,cellPhone,NM,16,37,21,"Are school zones treated differently under New Mexico cell phone law?","No same as everywhere","Yes fines are doubled in school zones","Triple fines","License suspension",B
ND-030,insurance,ND,16,28,12,"What happens if you drive without insurance in North Dakota?","Warning only","Fines and license suspension","Points only","Small fine",B
PA-018,cellPhone,PA,16,27,11,"What happens to a Pennsylvania driver under 18 who uses a device?","Fine only","License suspension possible","Warning","Points only",B
SC-011,gdlLicensing,SC,16,41,25,"What is unique about South Carolina's early nighttime restriction?","Same as other states","Starts at 6pm for first 6 months then 8pm","Always midnight","No nighttime restrictions",B
TN-014,cellPhone,TN,16,36,20,"What is Tennessee cell phone law for all drivers?","No restrictions","Handheld phones banned in most areas","Texting ban only","Only in school zones",B
UT-020,duiStateLaws,UT,16,36,20,"What makes Utah's BAC limit unique?","Same as other states","Lowest in the nation at 0.05 percent","Highest in nation","No BAC limit",B
WA-026,duiStateLaws,WA,16,30,14,"When does DUI become a felony in Washington?","Second offense","Third offense","Fourth offense within 10 years","Never",C
WI-018,cellPhone,WI,16,34,18,"What is unique about Wisconsin probationary driver cell phone rules?","Same as adults","Complete ban on all cell phone use","Hands-free allowed","Only GPS banned",B
AZ-001,gdlLicensing,AZ,15,17,2,"At what age can you obtain an instruction permit in Arizona?","14","15","15 years 6 months","16",C
AZ-016,cellPhone,AZ,15,35,20,"Can you use your phone at a red light in Arizona?","No never","Yes when stopped at a traffic light","Only for emergencies","Only hands-free",B
AR-006,gdlLicensing,AR,15,24,9,"How many unrelated minor passengers can an intermediate license holder have in Arkansas?","None without supervision","One","Two","Unlimited",A
CA-033,stateUnique,CA,15,37,22,"What is unique about California driver's licenses for those under 21?","They are pink","They are vertical with photo on right","They have a red border","Same as adult licenses",B
CO-007,gdlLicensing,CO,15,38,23,"What are the passenger restrictions from 6 to 12 months with a minor license in Colorado?","No passengers under 21","One passenger under 21 except siblings","Two passengers under 21","No restrictions",B
DE-023,duiStateLaws,DE,15,27,12,"What happens if you refuse a chemical test in Delaware?","No penalty","One-year license suspension","Warning only","Fine only",B
FL-026,duiStateLaws,FL,15,39,24,"Can prescription drugs lead to a DUI charge in Florida?","No only alcohol","Yes if they impair your driving ability","Only illegal drugs count","Only with alcohol",B
GA-022,duiStateLaws,GA,15,45,30,"What is Georgia's implied consent law?","Consent to vehicle searches","Automatic consent to BAC testing when driving","Consent to license suspension","Consent to vehicle impoundment",B
HI-031,stateUnique,HI,15,40,25,"When must headlights be used in Hawaii?","Sunset to sunrise only","Sunset to sunrise plus when using wipers","Only in rain","Only on highways at night",B
IL-032,stateUnique,IL,15,36,21,"What is Illinois Scott's Law?","School zone speed law","Move Over law for emergency vehicles","Teen driving curfew","DUI checkpoint law",B
MD-006,gdlLicensing,MD,15,36,21,"How many passengers can a Maryland provisional driver carry in the first 5 months?","No limit","No passengers under 18 unless family","1 passenger","Only immediate family",B
MN-023,duiStateLaws,MN,15,32,17,"What happens if you refuse a BAC test in Minnesota?","Warning only","Criminal charge for test refusal","30 day suspension","Same as passing",B
MO-006,gdlLicensing,MO,15,34,19,"How many passengers can a Missouri intermediate driver carry in the first 6 months?","No limit","1 passenger under 19 unless family","2 passengers","Only family members",B
NE-010,gdlLicensing,NE,15,36,21,"What unique permit does Nebraska offer for younger teens?","None","School permit at age 14 and 2 months","Farm permit at 12","Hardship permit at 13",B
NV-005,gdlLicensing,NV,15,30,15,"What are the nighttime restrictions for Nevada restricted license holders?","10pm to 5am","10pm to 5am for first 6 months","Midnight to 5am","11pm to 6am",B
NM-018,cellPhone,NM,15,35,20,"Can New Mexico drivers use phones while legally stopped?","No","Yes when lawfully parked or stopped","Only at red lights","Only for emergencies",B
ND-006,gdlLicensing,ND,15,34,19,"How many passengers can a North Dakota restricted driver carry?","No limit","No more passengers than seat belts","1 passenger","Only family members",B
PA-009,gdlLicensing,PA,15,47,32,"Is driver education required in Pennsylvania?","No it is optional","Not required but reduces supervised hours to 50","Only for permit holders under 17","Only after violations",B
SC-009,gdlLicensing,SC,15,47,32,"Is driver education required in South Carolina?","No it is optional","Not required but can reduce permit holding time","Only for permit holders under 16","Only after violations",B
WY-003,gdlLicensing,WY,15,23,8,"How many hours of supervised driving practice are required in Wyoming?","20 hours","50 hours","40 hours","No specific requirement",D
WY-011,gdlLicensing,WY,15,35,20,"What is unique about Wyoming's permit holding period?","Same as other states","One of the shortest at only 10 days","Longest in nation","No minimum period",B
U-093,safeDriving,ALL,14,27,13,"What should you do if you start to hydroplane?","Brake firmly","Steer sharply","Accelerate","Ease off gas steer straight",D
CA-012,gdlLicensing,CA,14,37,23,"Is alcohol allowed in the vehicle of a teen driver in California?","Yes if sealed","No alcohol in any form open or sealed","Only in trunk","Yes with parent present",B
FL-033,stateUnique,FL,14,44,30,"What is Florida's Family Purpose Doctrine?","Parents choose insurance","Parents are liable for teen driver's actions","Parents must supervise driving","Parents sign permit only",B
FL-039,stateUnique,FL,14,42,28,"Can police search your phone during a texting stop in Florida?","Yes automatically","No you can decline and they need a warrant","Only with admission of guilt","Only for repeat offenders",B
HI-028,insurance,HI,14,32,18,"What type of insurance is required in no-fault Hawaii?","Only liability","Personal Injury Protection (PIP)","Only collision","Comprehensive only",B
ID-007,gdlLicensing,ID,14,41,27,"Who must supervise an Idaho permit holder while driving?","Any licensed driver","Parent or guardian only","Licensed driver 21 or older in front seat","Licensed driver 18 or older",C
IL-008,gdlLicensing,IL,14,31,17,"What are the weekend curfew hours for Illinois teen drivers?","10pm to 6am","11pm to 6am Friday and Saturday","Midnight to 5am","No weekend curfew",B
KY-027,insurance,KY,14,22,8,"Is Kentucky an at-fault or no-fault insurance state?","No-fault","At-fault","Choice no-fault system","Hybrid",C
NJ-028,insurance,NJ,14,32,18,"What coverage options does New Jersey offer?","Standard only","Basic or Standard policy options","Only liability","Comprehensive only",B
NY-029,insurance,NY,14,42,28,"Must New York drivers carry proof of insurance?","Only at registration","Yes at all times while operating a vehicle","Only for new cars","Electronic verification only",B
OH-010,gdlLicensing,OH,14,26,12,"What happens if an Ohio probationary driver is convicted of a moving violation?","Warning only","6-month license suspension","Points only","Fine only",B
OH-018,cellPhone,OH,14,25,11,"What happens to an Ohio driver under 18 who violates the cell phone ban?","Fine only","60-day license suspension","Warning","Points only",B
OH-038,stateUnique,OH,14,35,21,"What should Ohio drivers know about toll roads?","No toll roads","Ohio Turnpike uses E-ZPass and cash","Free for residents","Only trucks pay tolls",B
OR-010,gdlLicensing,OR,14,46,32,"Is driver education required in Oregon?","No it is optional","Yes ODOT-approved course required for under 18","Only for permit holders under 16","Only after violations",B
RI-010,gdlLicensing,RI,14,26,12,"What happens if a Rhode Island provisional driver commits a violation?","Warning only","6-month license suspension","Points only","Fine only",B
UT-036,stateUnique,UT,14,41,27,"Are right turns on red permitted in Utah?","Never","Yes after complete stop unless prohibited","Only outside Salt Lake City","Only with arrow",B
WI-011,gdlLicensing,WI,14,35,21,"How does driver education affect Wisconsin permit eligibility?","No effect","Allows permit at 15.5 instead of 16","Waives practice hours","Waives road test",B
U-081,rulesOfRoad,ALL,13,27,14,"What does a double solid yellow line mean?","Pass with care","No passing either direction","Pass if safe","One-way road",B
U-097,safeDriving,ALL,13,36,23,"What is the proper way to enter a curve?","Brake while in curve","Maintain constant speed","Speed up before curve","Slow before curve accelerate through",D
U-139,specialSituations,ALL,13,29,16,"What should you do if caught in a dust storm?","Speed through it","Use high beams","Pull off road completely stop","Open windows",C
AK-012,gdlLicensing,AK,13,39,26,"What happens if a provisional license holder gets a traffic violation in Alaska?","Warning only","The 6-month restriction period restarts","Only a fine","Nothing unless it is a DUI",B
AK-029,insurance,AK,13,41,28,"What can happen if you drive without insurance in Alaska?","Warning only","$500 fine and possible license suspension","Points on your license only","No penalty for first offense",B
AR-034,stateUnique,AR,13,39,26,"Can you use GPS navigation apps while driving in Arkansas?","No all phone use is banned","Yes GPS and navigation apps are allowed","Only with voice commands","Only if mounted",B
AR-040,stateUnique,AR,13,41,28,"What restriction applies to all teen drivers regardless of license type in Arkansas?","Must have adult in car","Cannot use cell phones except emergencies","Cannot drive on highways","Must display new driver sign",B
FL-022,duiStateLaws,FL,13,27,14,"What happens for a DUI conviction if you're under 21 in Florida?","Warning only","License revocation until 21","Same as adults","Fine only",B
FL-025,duiStateLaws,FL,13,41,28,"Are fines doubled for texting violations in school zones in Florida?","No same fine applies","Yes school and work zone fines are higher","Only for repeat offenders","Only for commercial vehicles",B
HI-034,stateUnique,HI,13,36,23,"How should you handle right turns at red lights in Hawaii?","Always permitted","Permitted unless a sign prohibits it","Never permitted","Only with a green arrow",B
ID-035,stateUnique,ID,13,48,35,"What is Idaho's law regarding school bus stops?","Stop only when on same side of road","Stop in both directions unless divided by median","Slow to 15 mph","Stop only when children are visible",B
IL-005,gdlLicensing,IL,13,25,12,"How long do passenger restrictions last for new Illinois teen drivers?","6 months","12 months or until age 18","18 months","Until age 21",B
IL-028,insurance,IL,13,39,26,"Must Illinois drivers carry liability insurance?","Only for new vehicles","Yes minimum coverage is required by law","Only for financed vehicles","Insurance is optional",B
IA-014,cellPhone,IA,13,37,24,"Does Iowa's teen cell phone ban include hands-free devices?","No hands-free is allowed","Yes all electronic devices are banned","Only Bluetooth banned","Only texting apps",B
LA-011,gdlLicensing,LA,13,32,19,"What must Louisiana parents sign for their teen to get a permit?","Nothing required","Consent form accepting liability","Insurance waiver","School verification",B
MD-001,gdlLicensing,MD,13,15,2,"At what age can a Maryland teen obtain a learner's permit?","14","15 and 9 months","16","15",B
MI-001,gdlLicensing,MI,13,15,2,"At what age can a Michigan teen obtain a learner's permit?","14","14 and 9 months","15","16",B
MS-014,cellPhone,MS,13,32,19,"What is Mississippi cell phone law for adult drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Complete ban",B
MO-012,gdlLicensing,MO,13,32,19,"Can Missouri parents add or modify their teen's driving restrictions?","No state rules only","Yes by signing appropriate forms","Only first 30 days","Only for violations",B
MT-014,cellPhone,MT,13,32,19,"What is Montana cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Complete ban",B
NV-010,gdlLicensing,NV,13,25,12,"What happens if a Nevada teen driver violates restrictions?","Warning only","30-day license suspension","Points only","Fine only",B
NY-004,gdlLicensing,NY,13,32,19,"What type of license do New York teens receive first?","Full license","Junior license with restrictions","Provisional license","Learner license",B
NY-010,gdlLicensing,NY,13,36,23,"Is driver education required in New York?","No it is optional","5-hour pre-licensing course required","Full driver ed required","Only for under 17",B
PA-010,gdlLicensing,PA,13,25,12,"What happens if a Pennsylvania junior driver violates restrictions?","Warning only","90-day license suspension","Points only","Fine only",B
PA-017,cellPhone,PA,13,21,8,"Does Pennsylvania add points for texting violations?","No","No points for texting","3 points","5 points",B
TX-033,stateUnique,TX,13,30,17,"What is the maximum speed limit on Texas highways?","70 mph","75 to 85 mph depending on road","65 mph","80 mph everywhere",B
VA-001,gdlLicensing,VA,13,15,2,"At what age can a Virginia teen obtain a learner's permit?","14","15 and 6 months","16","15",B
WI-001,gdlLicensing,WI,13,15,2,"At what age can a Wisconsin teen obtain a learner's permit?","14","15 and 6 months","16","15",B
U-087,rulesOfRoad,ALL,12,30,18,"What must you do before backing up?","Check mirrors only","Check mirrors and turn to look","Honk horn","Flash brake lights",B
U-117,safeDriving,ALL,12,28,16,"What is the best way to avoid aggressive drivers?","Engage with them","Avoid eye contact give space","Brake check them","Follow closely",B
U-144,specialSituations,ALL,12,30,18,"What should you do when driving on ice?","Use cruise control","Brake gently accelerate slowly","Drive normal speed","Use highest gear",B
AL-008,gdlLicensing,AL,12,39,27,"What happens if you violate GDL restrictions in Alabama?","Warning only","License revoked","Restrictive period extended by 6 months","Points added to your record",C
AL-010,gdlLicensing,AL,12,40,28,"What must Alabama drivers under 19 provide when applying for a license?","Only a birth certificate","Proof of school enrollment or graduation","A letter from their employer","Proof of insurance only",B
AL-018,cellPhone,AL,12,42,30,"Can you use GPS navigation on your phone while driving in Alabama?","No all phone use is prohibited","Yes if using voice commands and hands-free","Only if the phone is mounted","Only printed maps are allowed",B
AK-025,duiStateLaws,AK,12,35,23,"What is an aggravated DUI in Alaska?","Any DUI with passengers","A DUI with a BAC of 0.15% or higher","A DUI while speeding","A second DUI offense",B
AZ-022,duiStateLaws,AZ,12,35,23,"What is an Extreme DUI in Arizona?","Any DUI with passengers","A DUI with a BAC of 0.15% to 0.199%","A DUI while speeding","A second DUI offense",B
AR-010,gdlLicensing,AR,12,36,24,"What document must a parent sign for a teen to get a license in Arkansas?","Only the application","A financial responsibility agreement","A driving log","A school permission form",B
CO-017,cellPhone,CO,12,38,26,"How can a first-time offender get a hands-free violation dismissed in Colorado?","Attend driving school","Prove purchase of hands-free accessory","Pay reduced fine","Complete community service",B
FL-006,gdlLicensing,FL,12,21,9,"How long must you hold a learner's permit before getting a license in Florida?","6 months","9 months","12 months or until 18","18 months",C
FL-037,stateUnique,FL,12,31,19,"What exceptions exist for nighttime driving restrictions in Florida?","None","Work school or family emergency","Parental permission","Dating",B
IL-006,gdlLicensing,IL,12,35,23,"How many passengers under 20 can an Illinois teen driver carry during the restricted period?","None","1 unless sibling or child of driver","2","No limit with seatbelts",B
KS-006,gdlLicensing,KS,12,31,19,"How many passengers can a Kansas restricted license holder carry?","No limit","1 non-family passenger under 18","2 passengers","Only family members",B
KY-009,gdlLicensing,KY,12,37,25,"Is driver education required in Kentucky?","Yes for all under 18","No but it reduces permit holding time","Yes only for 16 year olds","Only after violations",B
MS-018,cellPhone,MS,12,31,19,"Are there enhanced penalties for repeat texting violations in Mississippi?","No same fine","Yes increasing fines and points","License suspension","Vehicle impoundment",B
MT-010,gdlLicensing,MT,12,36,24,"What unique license does Montana offer for rural areas?","No special license","Motorcycle license at 14","Hardship permits for work and school","Farm-only license",C
NE-018,cellPhone,NE,12,36,24,"Can Nebraska drivers use phones for GPS?","Only if mounted","Yes if used hands-free or with mount","No GPS use allowed","Only with voice commands",B
NH-011,gdlLicensing,NH,12,31,19,"Can New Hampshire parents restrict their teen's driving further?","No state rules only","Yes by notifying DMV in writing","Only first 30 days","Only for curfew",B
NM-013,cellPhone,NM,12,31,19,"What is New Mexico cell phone law for permit and provisional drivers?","Hands-free only","No cell phone use while driving","Same as adults","Texting only banned",B
NC-014,cellPhone,NC,12,32,20,"What is North Carolina cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
ND-013,cellPhone,ND,12,31,19,"What is North Dakota cell phone law for drivers under 18?","Hands-free only","No cell phone use while driving","Same as adults","Texting only banned",B
ND-014,cellPhone,ND,12,32,20,"What is North Dakota cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
OH-014,cellPhone,OH,12,32,20,"What is Ohio cell phone law for all adult drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
OK-014,cellPhone,OK,12,32,20,"What is Oklahoma cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
PA-014,cellPhone,PA,12,32,20,"What is Pennsylvania cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
SC-013,cellPhone,SC,12,31,19,"What is South Carolina cell phone law for drivers under 18?","Hands-free only","No cell phone use while driving","Same as adults","Texting only banned",B
SC-014,cellPhone,SC,12,32,20,"What is South Carolina cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
SD-014,cellPhone,SD,12,32,20,"What is South Dakota cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
WV-014,cellPhone,WV,12,32,20,"What is West Virginia cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
WI-014,cellPhone,WI,12,32,20,"What is Wisconsin cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
WY-014,cellPhone,WY,12,32,20,"What is Wyoming cell phone law for all drivers?","No restrictions","Texting while driving prohibited","Hands-free required","Only in school zones",B
U-022,roadSigns,ALL,11,28,17,"What does WRONG WAY mean on a red sign?","Road closed ahead","You're going against traffic","Detour required","Construction zone",B
AL-038,stateUnique,AL,11,20,9,"How many points result in license suspension in Alabama?","8 points","10 points","12 points in 2 years","15 points",C
AZ-036,stateUnique,AZ,11,19,8,"What is the lookback period for prior DUI offenses in Arizona?","5 years","7 years (84 months)","10 years","Lifetime",B
CA-037,stateUnique,CA,11,30,19,"What is the penalty for a hit and run resulting in injury in California?","Fine only","Possible felony with jail time","License points only","Community service",B
CT-012,gdlLicensing,CT,11,36,25,"What safe driving course is required for Connecticut teen drivers?","None","8-hour Safe Driving Practices course","16-hour defensive driving","Online only",B
DE-032,stateUnique,DE,11,33,22,"How did GDL laws affect 16-year-old driver crashes in Delaware?","No change","Crashes declined by more than 30%","Crashes increased","Only minor improvement",B
FL-015,cellPhone,FL,11,27,16,"Are points added to your license for a first texting offense in Florida?","Yes 3 points","Yes 1 point","No points for first offense","Depends on speed",C
FL-018,cellPhone,FL,11,31,20,"What are the phone rules for drivers under 18 in Florida?","Same as adults","No electronic device use at all","Hands-free only","Only for emergencies",B
HI-001,gdlLicensing,HI,11,13,2,"At what age can a Hawaii teen obtain a learner's permit?","14","15","15 and a half","16",C
ID-001,gdlLicensing,ID,11,13,2,"At what age can an Idaho teen obtain a driver training permit with driver education?","13","14","14 and a half","15",C
ID-023,duiStateLaws,ID,11,35,24,"What happens if you refuse a BAC test in Idaho?","Warning only","1 year license suspension plus fine","90 day suspension","Same as passing the test",B
IN-008,gdlLicensing,IN,11,35,24,"What are the weeknight curfew hours for Indiana drivers after 180 days but under 18?","10pm to 5am","11pm to 5am Sunday through Thursday","Midnight to 5am","No curfew after 180 days",B
IN-035,stateUnique,IN,11,42,31,"What is Indiana's law regarding school bus stops?","Stop only when on same side","Stop in both directions on undivided roads","Slow to 15 mph","Stop only when children visible",B
KS-016,cellPhone,KS,11,34,23,"Are there local Kansas jurisdictions with stricter phone laws?","No state law is uniform","Yes some cities require hands-free","Only in school zones","Only on highways",B
KY-004,gdlLicensing,KY,11,13,2,"At what age can a Kentucky teen obtain an intermediate license?","16","16 and a half","17","15",B
ME-012,gdlLicensing,ME,11,39,28,"What is unique about Maine GDL restrictions?","They end at 18","Some restrictions continue until age 21","Same as other states","No restrictions after 1 year",B
MA-004,gdlLicensing,MA,11,13,2,"At what age can a Massachusetts teen obtain a junior operator license?","16","16 and a half","17","18",B
MS-006,gdlLicensing,MS,11,34,23,"What are the weekend nighttime restrictions for Mississippi intermediate drivers?","Same as weeknights","11:30pm to 6am Friday and Saturday","No weekend restrictions","Midnight to 5am",B
MS-008,gdlLicensing,MS,11,13,2,"At what age can a Mississippi driver obtain a full license?","16 and a half","17","18","21",A
MO-018,cellPhone,MO,11,35,24,"Does Missouri add points for texting violations?","No","Yes 2 points for texting violations","Only for crashes","Only for repeat offenses",B
MT-001,gdlLicensing,MT,11,13,2,"At what age can a Montana teen obtain a learner's permit?","13","14","14 and a half","15",C
NV-001,gdlLicensing,NV,11,13,2,"At what age can a Nevada teen obtain a learner's permit?","14","15 and a half","16","15",B
NH-001,gdlLicensing,NH,11,13,2,"At what age can a New Hampshire teen obtain a learner's permit?","14","15 and a half","16","15",B
NY-024,duiStateLaws,NY,11,19,8,"How many years does New York look back for repeat DWI offenses?","5 years","10 years","25 years for felony","Lifetime",C
NC-007,gdlLicensing,NC,11,13,2,"At what age can a North Carolina teen obtain a full provisional license?","16 and a half","17","18","16",A
OH-001,gdlLicensing,OH,11,13,2,"At what age can an Ohio teen obtain a temporary instruction permit?","14","15 and a half","16","15",B
OH-037,stateUnique,OH,11,30,19,"What is unique about Ohio license plates?","Nothing special","Front and rear plates required","Rear only","Annual color change",B
OK-001,gdlLicensing,OK,11,13,2,"At what age can an Oklahoma teen obtain a learner's permit?","14","15","15 and a half","16",C
OK-007,gdlLicensing,OK,11,13,2,"At what age can an Oklahoma driver obtain a full license?","16 and a half","17","18","16",A
OK-018,cellPhone,OK,11,34,23,"Are there local Oklahoma areas with stricter phone laws?","No state law is uniform","Yes some cities require hands-free","Only Oklahoma City","Only Tulsa",B
PA-004,gdlLicensing,PA,11,13,2,"At what age can a Pennsylvania teen obtain a junior license?","16","16 and a half","17","15",B
RI-004,gdlLicensing,RI,11,13,2,"At what age can a Rhode Island teen obtain a limited provisional license?","16","16 and a half","17","15",B
SC-004,gdlLicensing,SC,11,13,2,"At what age can a South Carolina teen obtain a conditional license?","15","15 and a half","16","17",B
SC-005,gdlLicensing,SC,11,26,15,"What are the nighttime restrictions for South Carolina conditional license holders?","10pm to 5am","6pm to 6am with exceptions","8pm to 6am","Midnight to 6am",B
SC-007,gdlLicensing,SC,11,13,2,"At what age can a South Carolina driver obtain a regular license?","16","16 and a half","17","18",B
UT-017,cellPhone,UT,11,34,23,"What can Utah drivers do with phones?","Hold phone to ear","Single touch to answer or end call","Any use while stopped","Read messages at lights",B
UT-026,duiStateLaws,UT,11,25,14,"When does DUI become a felony in Utah?","Second offense","Third offense","Third offense in 10 years","Fourth offense",C
U-006,roadSigns,ALL,10,22,12,"What does a green sign typically indicate?","Warning","Guidance and direction","Regulation","Construction",B
U-041,roadSigns,ALL,10,22,12,"What does a side road sign show?","Exit ahead","Rest area","Intersection from side","Service road",C
U-128,specialSituations,ALL,10,40,30,"What is the move over law?","Change lanes regularly","Yield at intersections","Move over for stopped emergency vehicles","Move over for turning vehicles",C
U-130,specialSituations,ALL,10,30,20,"What should you do if your vehicle catches fire?","Keep driving","Open hood to check","Pull over turn off engine exit","Pour water on engine",C
AK-018,cellPhone,AK,10,36,26,"Can you use voice-activated features on your phone while driving in Alaska?","No all phone use is banned","Yes voice communications are allowed","Only for 911 calls","Only if under 18",B
AR-026,duiStateLaws,AR,10,46,36,"Can buzzed driving be as dangerous as drunk driving in Arkansas?","No only 0.08% or higher is dangerous","Yes even low BAC levels impair driving ability","Only for inexperienced drivers","Only at night",B
